speaker,start,end,duration,text
Furhat,00:00:00.408,00:00:01.860,00:00:01.452,greeting
Silence,00:00:01.860,00:00:03.796,00:00:01.936,silence
Participant,00:00:03.796,00:00:05.596,00:00:01.800,i need help for an interview
Silence,00:00:05.596,00:00:06.911,00:00:01.315,silence
Furhat,00:00:06.911,00:00:18.058,00:00:11.147,ask for advice need
Silence,00:00:18.058,00:00:18.850,00:00:00.792,silence
Participant,00:00:18.850,00:00:20.379,00:00:01.529,the interview questions
Silence,00:00:20.379,00:00:21.656,00:00:01.277,silence
Furhat,00:00:21.656,00:00:22.103,00:00:00.447,CR
Silence,00:00:22.103,00:00:22.663,00:00:00.560,silence
Participant,00:00:22.663,00:00:24.075,00:00:01.412,interview questions
Silence,00:00:24.075,00:00:25.468,00:00:01.393,silence
Furhat,00:00:25.468,00:00:30.656,00:00:05.188,ask open question
Silence,00:00:30.656,00:00:31.407,00:00:00.751,silence
Participant,00:00:31.407,00:00:31.972,00:00:00.565,no
Silence,00:00:31.972,00:00:33.421,00:00:01.449,silence
Furhat,00:00:33.421,00:00:50.322,00:00:16.901,give advice
Silence,00:00:50.322,00:00:52.251,00:00:01.929,silence
Participant,00:00:52.251,00:00:54.389,00:00:02.138,is there more about interview questions
Silence,00:00:54.389,00:00:56.157,00:00:01.768,silence
Furhat,00:00:56.157,00:01:01.203,00:00:05.046,ask open question
Silence,00:01:01.203,00:01:02.500,00:00:01.297,silence
Participant,00:01:02.500,00:01:05.002,00:00:02.502,what is your five year plan
Silence,00:01:05.002,00:01:06.521,00:00:01.519,silence
Furhat,00:01:06.521,00:01:23.572,00:00:17.051,give advice
Silence,00:01:23.572,00:01:24.100,00:00:00.528,silence
Participant,00:01:24.100,00:01:25.607,00:00:01.507,what are the other options
Silence,00:01:25.607,00:01:27.390,00:00:01.783,silence
Furhat,00:01:27.390,00:01:33.530,00:00:06.140,give options
Silence,00:01:33.530,00:01:33.958,00:00:00.428,silence
Participant,00:01:33.958,00:01:35.182,00:00:01.224,preparation please
Silence,00:01:35.182,00:01:36.399,00:00:01.217,silence
Furhat,00:01:36.399,00:01:37.312,00:00:00.913,CR
Silence,00:01:37.312,00:01:37.444,00:00:00.132,silence
Participant,00:01:37.444,00:01:38.313,00:00:00.869,preparation
Silence,00:01:38.313,00:01:39.853,00:00:01.540,silence
Furhat,00:01:39.853,00:01:43.262,00:00:03.409,ask open question
Silence,00:01:43.262,00:01:44.185,00:00:00.923,silence
Participant,00:01:44.185,00:01:44.961,00:00:00.776,no
Silence,00:01:44.961,00:01:48.470,00:00:03.509,silence
