speaker,start,end,duration,text
Furhat,00:00:00.431,00:00:02.401,00:00:01.970,greeting
Silence,00:00:02.401,00:00:03.337,00:00:00.936,silence
DF,00:00:03.312,00:00:04.022,00:00:00.710,REP
Participant,00:00:03.337,00:00:05.331,00:00:01.994,wi- with what can you help me with
Silence,00:00:05.331,00:00:06.394,00:00:01.063,silence
Furhat,00:00:06.394,00:00:09.490,00:00:03.096,no match 1st
Silence,00:00:09.490,00:00:10.316,00:00:00.826,silence
DF,00:00:10.310,00:00:11.150,00:00:00.840,REP
Participant,00:00:10.316,00:00:15.409,00:00:05.093,what are what are my options what eh what what do you what can you help me with
DF,00:00:12.325,00:00:12.710,00:00:00.385,FP
DF,00:00:12.710,00:00:14.530,00:00:01.820,SUB
Silence,00:00:15.409,00:00:17.138,00:00:01.729,silence
Furhat,00:00:17.138,00:00:22.552,00:00:05.414,give options
Silence,00:00:22.552,00:00:23.041,00:00:00.489,silence
Participant,00:00:23.041,00:00:25.313,00:00:02.272,yeah for sure let's start with resumes
Silence,00:00:25.313,00:00:26.655,00:00:01.342,silence
Furhat,00:00:26.655,00:00:32.440,00:00:05.785,ask education
Silence,00:00:32.440,00:00:33.080,00:00:00.640,silence
DF,00:00:33.080,00:00:33.240,00:00:00.160,FP
Participant,00:00:33.080,00:00:41.577,00:00:08.497,eh currently my highest level of education is eh a bachelors degree that i finished but i am doing right now my masters
DF,00:00:36.630,00:00:36.930,00:00:00.300,FP
Silence,00:00:41.577,00:00:42.890,00:00:01.313,silence
Furhat,00:00:42.890,00:00:44.507,00:00:01.617,ask positions
Silence,00:00:44.507,00:00:45.402,00:00:00.895,silence
DF,00:00:45.400,00:00:46.050,00:00:00.650,FP
Participant,00:00:45.402,00:00:52.468,00:00:07.066,ehm i've worked in two jobs so far ehm both as a working student in software engineering 
DF,00:00:48.481,00:00:48.910,00:00:00.429,FP
Silence,00:00:52.468,00:00:53.992,00:00:01.524,silence
Furhat,00:00:53.992,00:00:56.780,00:00:02.788,no match 1st
Silence,00:00:56.780,00:00:57.641,00:00:00.861,silence
DF,00:00:57.640,00:00:57.830,00:00:00.190,FP
Participant,00:00:57.641,00:01:04.921,00:00:07.280, eh i wor- i've worked in two jobs so far eh both were as a working student in software engineering
DF,00:00:57.840,00:00:58.780,00:00:00.940,SUB
DF,00:01:01.181,00:01:01.550,00:00:00.369,FP
Silence,00:01:04.921,00:01:06.469,00:00:01.548,silence
Furhat,00:01:06.469,00:01:08.875,00:00:02.406,ask experience
Silence,00:01:08.875,00:01:09.840,00:00:00.965,silence
Participant,00:01:09.840,00:01:20.211,00:00:10.371,ehm w- workwise eh i got my first job in 2018 so this is five years now al- almost yeah 
DF,00:01:09.840,00:01:10.565,00:00:00.725,FP
DF,00:01:10.630,00:01:11.812,00:00:01.182,REP
DF,00:01:18.572,00:01:19.620,00:00:01.048,REP
Silence,00:01:20.211,00:01:21.916,00:00:01.705,silence
Furhat,00:01:21.916,00:01:29.012,00:00:07.096,ask open question
Silence,00:01:29.012,00:01:29.285,00:00:00.273,silence
Participant,00:01:29.285,00:01:34.453,00:00:05.168,no i've i i have a bechelors degree you misunderstood me eh sorry 
DF,00:01:29.755,00:01:31.163,00:00:01.408,SUB
Silence,00:01:34.453,00:01:35.922,00:00:01.469,silence
Furhat,00:01:35.922,00:01:39.712,00:00:03.790,ask advice need
Silence,00:01:39.712,00:01:41.244,00:00:01.532,silence
Participant,00:01:41.244,00:01:45.137,00:00:03.893,ehm i don't know i mean what advice can you offer
DF,00:01:41.257,00:01:42.150,00:00:00.893,FP
Silence,00:01:45.137,00:01:46.812,00:00:01.675,silence
Furhat,00:01:46.812,00:01:49.533,00:00:02.721,no match 1st
Silence,00:01:49.533,00:01:50.717,00:00:01.184,silence
Participant,00:01:50.717,00:01:58.030,00:00:07.313,ehm what what what tips do you have for writing a cv what are my options
DF,00:01:50.854,00:01:51.497,00:00:00.643,FP
DF,00:01:51.901,00:01:53.183,00:00:01.282,REP
DF,00:01:55.999,00:01:56.990,00:00:00.991,UP
Furhat,00:01:57.955,00:02:00.801,00:00:02.846,no match 2nd
Overlap,00:01:57.955,00:01:58.030,00:00:00.075,ehm what what what tips do you have for writing a cv what are my options no match 2nd
Silence,00:02:00.801,00:02:01.164,00:00:00.363,silence
Participant,00:02:01.164,00:02:02.931,00:00:01.767,what are what are my options
DF,00:02:01.164,00:02:02.000,00:00:00.836,REP
Silence,00:02:02.931,00:02:04.252,00:00:01.321,silence
Furhat,00:02:04.252,00:02:14.122,00:00:09.870,give options
Silence,00:02:14.122,00:02:14.418,00:00:00.296,silence
Participant,00:02:14.418,00:02:17.815,00:00:03.397,ehm can you give me some advice about cv structure
DF,00:02:14.418,00:02:15.130,00:00:00.712,FP
Silence,00:02:17.815,00:02:19.084,00:00:01.269,silence
Furhat,00:02:19.084,00:02:28.880,00:00:09.796,give options
Silence,00:02:28.880,00:02:29.133,00:00:00.253,silence
Participant,00:02:29.133,00:02:30.797,00:00:01.664,cv structure
Silence,00:02:30.797,00:02:32.539,00:00:01.742,silence
Furhat,00:02:32.539,00:03:05.552,00:00:33.013,give advice
Silence,00:03:05.552,00:03:05.879,00:00:00.327,silence
Participant,00:03:05.879,00:03:06.551,00:00:00.672,no
Silence,00:03:06.551,00:03:08.101,00:00:01.550,silence
Furhat,00:03:08.101,00:03:09.763,00:00:01.662,ask if topic change
Silence,00:03:09.763,00:03:10.054,00:00:00.291,silence
